Transaction_ID,User_ID,Transaction_Date,Transaction_Type,Amount_NPR,Payment_Method,Transaction_Status,Merchant_Category,City,Device_Type
ESW100000,16795,6/7/2024 20:03,Electricity Bill,2741.61,Debit Card,Success,Utility,Biratnagar,Android
ESW100001,1860,4/24/2024 0:34,Electricity Bill,18177.72,Linked Bank,Success,Food Delivery,Chitwan,iOS
ESW100002,39158,8/24/2024 17:02,Fund Transfer,7233.55,Linked Bank,Success,Telecom,Biratnagar,Android
ESW100003,45732,11/20/2024 21:42,Electricity Bill,4306.15,Wallet Balance,Failed,Others,Lalitpur,iOS
ESW100004,12284,8/30/2024 12:00,Internet Bill,13545.71,Debit Card,Success,Utility,Bhaktapur,Android
ESW100005,7265,1/20/2024 10:09,Fund Transfer,10886.7,Debit Card,Failed,Others,Chitwan,Android
ESW100006,17850,1/9/2024 14:25,Mobile Recharge,16347.89,Wallet Balance,Success,Food Delivery,Bhaktapur,Android
ESW100007,38194,4/12/2024 3:28,Internet Bill,15073.71,Wallet Balance,Success,Food Delivery,Chitwan,Android
ESW100008,22962,4/20/2024 10:26,Internet Bill,19494.66,Wallet Balance,Success,Food Delivery,Biratnagar,Android
ESW100009,48191,4/21/2024 19:19,Electricity Bill,1856.12,Linked Bank,Success,Telecom,Biratnagar,Web
ESW100010,45131,1/30/2024 14:01,Fund Transfer,1651.44,Linked Bank,Success,Others,Bhaktapur,Android
ESW100011,17023,12/8/2024 18:11,QR Payment,18151.85,Wallet Balance,Success,Transport,Bhaktapur,iOS
ESW100012,42090,4/5/2024 22:50,Internet Bill,19116.86,Wallet Balance,Failed,Food Delivery,Bhaktapur,Web
ESW100013,2685,4/29/2024 14:05,Internet Bill,8162.36,Wallet Balance,Success,Transport,Chitwan,iOS
ESW100014,1769,2/28/2024 18:07,Internet Bill,9144.6,Linked Bank,Success,Others,Biratnagar,Android
ESW100015,3433,1/17/2024 17:01,Fund Transfer,7405.53,Linked Bank,Success,Telecom,Bhaktapur,Android
ESW100016,6311,9/24/2024 11:11,Fund Transfer,15564.85,Linked Bank,Success,E-commerce,Bhaktapur,Android
ESW100017,38819,5/2/2024 5:12,Mobile Recharge,15427.19,Linked Bank,Success,Food Delivery,Chitwan,Android
ESW100018,40188,3/3/2024 22:43,Mobile Recharge,4447.37,Wallet Balance,Success,E-commerce,Butwal,iOS
ESW100019,18568,9/8/2024 11:16,QR Payment,7708.69,Wallet Balance,Success,Others,Lalitpur,Android
ESW100020,20769,8/25/2024 4:57,Electricity Bill,4288.11,Wallet Balance,Success,Transport,Kathmandu,Android
ESW100021,29693,1/11/2024 14:37,Fund Transfer,980.15,Wallet Balance,Failed,E-commerce,Butwal,Web
ESW100022,7396,11/3/2024 2:09,Fund Transfer,1169.62,Wallet Balance,Success,Utility,Biratnagar,Android
ESW100023,28480,12/25/2024 22:56,Electricity Bill,2979.12,Wallet Balance,Success,Telecom,Butwal,Web
ESW100024,42434,12/9/2024 11:25,Fund Transfer,646.15,Linked Bank,Success,Food Delivery,Biratnagar,Android
ESW100025,26658,1/8/2024 11:57,Mobile Recharge,8492.35,Linked Bank,Success,Transport,Chitwan,iOS
ESW100026,19942,2/5/2024 19:39,QR Payment,1327.19,Wallet Balance,Success,E-commerce,Kathmandu,Android
ESW100027,19431,12/3/2024 20:44,Mobile Recharge,16955.86,Debit Card,Success,Others,Chitwan,Android
ESW100028,3747,11/9/2024 8:55,Electricity Bill,14256.04,Wallet Balance,Success,Others,Lalitpur,Android
